locus_tag	ftype	length_bp	gene	EC_number	COG	product
PLMJLKIP_01419	CDS	1374	argH	4.3.2.1	COG0165	Argininosuccinate lyase
PLMJLKIP_01420	CDS	918	oxyR_1			Hydrogen peroxide-inducible genes activator
PLMJLKIP_01421	CDS	1401	sthA	1.6.1.1	COG1249	Soluble pyridine nucleotide transhydrogenase
PLMJLKIP_01422	CDS	705	fabR		COG1309	HTH-type transcriptional repressor FabR
PLMJLKIP_01423	CDS	360	yijD			Inner membrane protein YijD
PLMJLKIP_01424	CDS	1101	trmA	2.1.1.-	COG2265	tRNA/tmRNA (uracil-C(5))-methyltransferase
PLMJLKIP_01425	CDS	1845	btuB_2		COG4206	Vitamin B12 transporter BtuB
PLMJLKIP_01426	CDS	858	murI	5.1.1.3	COG0796	Glutamate racemase
PLMJLKIP_01427	CDS	858				ISAs1 family transposase ISEc1
PLMJLKIP_01428	CDS	561				hypothetical protein
PLMJLKIP_01429	CDS	636				hypothetical protein
PLMJLKIP_01430	CDS	570				hypothetical protein
PLMJLKIP_01431	CDS	846	nhoA	2.3.1.5	COG2162	Arylamine N-acetyltransferase
PLMJLKIP_01432	CDS	411				hypothetical protein
PLMJLKIP_01433	CDS	288				hypothetical protein
PLMJLKIP_01434	CDS	249	dinI_1			DNA damage-inducible protein I
PLMJLKIP_01435	CDS	1098				hypothetical protein
PLMJLKIP_01436	CDS	1038	dusA	1.3.1.-	COG0042	tRNA-dihydrouridine(20/20a) synthase
PLMJLKIP_01437	CDS	243	pspG			Phage shock protein G
PLMJLKIP_01438	CDS	984	qorA	1.6.5.5	COG0604	Quinone oxidoreductase 1
PLMJLKIP_01439	CDS	1416	dnaB	3.6.4.12	COG0305	Replicative DNA helicase
PLMJLKIP_01440	CDS	1080	alr	5.1.1.1	COG0787	Alanine racemase, biosynthetic
PLMJLKIP_01441	CDS	1194	tyrB	2.6.1.57	COG1448	Aromatic-amino-acid aminotransferase
PLMJLKIP_01442	CDS	504				hypothetical protein
PLMJLKIP_01443	CDS	714	aphA	3.1.3.2	COG3700	Class B acid phosphatase
PLMJLKIP_01444	CDS	417				hypothetical protein
PLMJLKIP_01445	CDS	357	yjbR		COG2315	putative protein YjbR
PLMJLKIP_01446	CDS	2823	uvrA		COG0178	UvrABC system protein A
PLMJLKIP_01447	CDS	537	ssb_3		COG0629	Single-stranded DNA-binding protein
PLMJLKIP_01448	CDS	282				hypothetical protein
PLMJLKIP_01449	CDS	1584	pdeC	3.1.4.52	COG4943	putative cyclic di-GMP phosphodiesterase PdeC
PLMJLKIP_01450	CDS	324	soxS			Regulatory protein SoxS
PLMJLKIP_01451	CDS	465	soxR		COG0789	Redox-sensitive transcriptional activator SoxR
PLMJLKIP_01452	CDS	1350	ghxP		COG2252	Guanine/hypoxanthine permease GhxP
PLMJLKIP_01453	CDS	1650	nhaK_1		COG0025	Sodium, potassium, lithium and rubidium/H(+) antiporter
PLMJLKIP_01454	CDS	1293				hypothetical protein
PLMJLKIP_01455	CDS	1650	actP		COG4147	Cation/acetate symporter ActP
PLMJLKIP_01456	CDS	315	yjcH		COG3162	Inner membrane protein YjcH
PLMJLKIP_01457	CDS	1959	acs_1	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
PLMJLKIP_01458	CDS	1437	nrfA	1.7.2.2	COG3303	Cytochrome c-552
PLMJLKIP_01459	CDS	567	nrfB			Cytochrome c-type protein NrfB
PLMJLKIP_01460	CDS	672	ydhX_1		COG0437	putative ferredoxin-like protein YdhX
PLMJLKIP_01461	CDS	957				hypothetical protein
PLMJLKIP_01462	CDS	1623	ccmF_1		COG1138	Cytochrome c-type biogenesis protein CcmF
PLMJLKIP_01463	CDS	384	ccmH_1		COG3088	Cytochrome c-type biogenesis protein CcmH
PLMJLKIP_01464	CDS	597	nrfG		COG4235	Formate-dependent nitrite reductase complex subunit NrfG
PLMJLKIP_01465	CDS	1314	gltP		COG1301	Proton/glutamate-aspartate symporter
PLMJLKIP_01466	CDS	690				hypothetical protein
PLMJLKIP_01467	CDS	1680	fdhF_1	1.17.1.9	COG0243	Formate dehydrogenase H
PLMJLKIP_01468	CDS	420	fdhF_2	1.17.1.9	COG0243	Formate dehydrogenase H
PLMJLKIP_01469	CDS	1467	cusC_2		COG1538	Cation efflux system protein CusC
PLMJLKIP_01470	CDS	2052	mdtO		COG1289	Multidrug resistance protein MdtO
PLMJLKIP_01471	CDS	1032	mdtN		COG1566	Multidrug resistance protein MdtN
PLMJLKIP_01472	CDS	276				hypothetical protein
PLMJLKIP_01473	CDS	1986	yjcS	3.1.6.-	COG2015	Putative alkyl/aryl-sulfatase YjcS
PLMJLKIP_01474	CDS	318				hypothetical protein
PLMJLKIP_01475	CDS	330				hypothetical protein
PLMJLKIP_01476	CDS	759	phnP	3.1.4.55	COG1235	Phosphoribosyl 1,2-cyclic phosphate phosphodiesterase
PLMJLKIP_01477	CDS	435	phnO	2.3.1.280		Aminoalkylphosphonate N-acetyltransferase
PLMJLKIP_01478	CDS	558	phnN	2.7.4.23	COG3709	Ribose 1,5-bisphosphate phosphokinase PhnN
PLMJLKIP_01479	CDS	1137	phnM	3.6.1.63	COG3454	Alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase
PLMJLKIP_01480	CDS	681	phnL	2.7.8.37	COG4778	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnL
PLMJLKIP_01481	CDS	759	phnK		COG4107	Putative phosphonates utilization ATP-binding protein PhnK
PLMJLKIP_01482	CDS	846	phnJ	4.7.1.1	COG3627	Alpha-D-ribose 1-methylphosphonate 5-phosphate C-P lyase
PLMJLKIP_01483	CDS	1065	phnI	2.7.8.37	COG3626	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnI
PLMJLKIP_01484	CDS	585	phnH	2.7.8.37	COG3625	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnH
PLMJLKIP_01485	CDS	453	phnG	2.7.8.37	COG3624	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnG
PLMJLKIP_01486	CDS	726	phnF		COG2188	putative transcriptional regulator PhnF
PLMJLKIP_01487	CDS	780	phnE		COG3639	Phosphate-import permease protein PhnE
PLMJLKIP_01488	CDS	1017				hypothetical protein
PLMJLKIP_01489	CDS	789	phnC	7.3.2.1	COG3638	Phosphate-import ATP-binding protein PhnC
PLMJLKIP_01490	CDS	444				hypothetical protein
PLMJLKIP_01491	CDS	336				hypothetical protein
PLMJLKIP_01492	CDS	2229	crfC		COG0699	Clamp-binding protein CrfC
PLMJLKIP_01493	CDS	879				hypothetical protein
PLMJLKIP_01494	CDS	1503	proP			Proline/betaine transporter
PLMJLKIP_01495	CDS	90				hypothetical protein
PLMJLKIP_01496	CDS	1101	basS	2.7.13.3		Sensor protein BasS
PLMJLKIP_01497	CDS	669	basR			Transcriptional regulatory protein BasR
PLMJLKIP_01498	CDS	1644	eptA	2.7.-.-	COG2194	Phosphoethanolamine transferase EptA
PLMJLKIP_01499	CDS	1338	adiC		COG0531	Arginine/agmatine antiporter
PLMJLKIP_01500	CDS	762	gadX_1			HTH-type transcriptional regulator GadX
PLMJLKIP_01501	CDS	2271	adiA	4.1.1.19	COG1982	Biodegradative arginine decarboxylase
PLMJLKIP_01502	CDS	909	melR_1			Melibiose operon regulatory protein
PLMJLKIP_01503	CDS	1356	melA	3.2.1.22	COG1486	Alpha-galactosidase
PLMJLKIP_01504	CDS	1410	melB		COG2211	Melibiose carrier protein
PLMJLKIP_01505	CDS	630	yjdF		COG3647	Inner membrane protein YjdF
PLMJLKIP_01506	CDS	1647	fumB	4.2.1.2	COG1838	Fumarate hydratase class I, anaerobic
PLMJLKIP_01507	CDS	1341	dcuB		COG2704	Anaerobic C4-dicarboxylate transporter DcuB
PLMJLKIP_01508	CDS	720	dcuR		COG4565	Transcriptional regulatory protein DcuR
PLMJLKIP_01509	CDS	1632	dcuS	2.7.13.3	COG3290	Sensor histidine kinase DcuS
PLMJLKIP_01510	CDS	231				hypothetical protein
PLMJLKIP_01511	CDS	273	yjdJ		COG2388	putative protein YjdJ
PLMJLKIP_01512	CDS	297	ghoS	3.1.-.-		Endoribonuclease antitoxin GhoS
PLMJLKIP_01513	CDS	174	ghoT			Toxin GhoT
PLMJLKIP_01514	CDS	1518	lysU	6.1.1.6	COG1190	Lysine--tRNA ligase, heat inducible
PLMJLKIP_01515	CDS	1458	dtpC		COG3104	Dipeptide and tripeptide permease C
PLMJLKIP_01516	CDS	2148	cadA	4.1.1.18	COG1982	Inducible lysine decarboxylase
PLMJLKIP_01517	CDS	1335	cadB		COG0531	putative cadaverine/lysine antiporter
PLMJLKIP_01518	CDS	1539	cadC		COG3710	Transcriptional activator CadC
PLMJLKIP_01519	tRNA	76				tRNA-Phe(gaa)
PLMJLKIP_01520	CDS	576				hypothetical protein
PLMJLKIP_01521	CDS	1698	dsbD	1.8.1.8	COG4232	Thiol:disulfide interchange protein DsbD
PLMJLKIP_01522	CDS	339	cutA		COG1324	Divalent-cation tolerance protein CutA
PLMJLKIP_01523	CDS	1302	dcuA		COG2704	Anaerobic C4-dicarboxylate transporter DcuA
PLMJLKIP_01524	CDS	1437	aspA	4.3.1.1	COG1027	Aspartate ammonia-lyase
PLMJLKIP_01525	CDS	477				hypothetical protein
PLMJLKIP_01526	CDS	1257	yjeH		COG0531	L-methionine/branched-chain amino acid exporter YjeH
PLMJLKIP_01527	CDS	294	groS		COG0234	10 kDa chaperonin
PLMJLKIP_01528	CDS	1647	groL			60 kDa chaperonin
PLMJLKIP_01529	CDS	354				hypothetical protein
PLMJLKIP_01530	CDS	870				hypothetical protein
PLMJLKIP_01531	CDS	1029	epmB	5.4.3.-	COG1509	L-lysine 2,3-aminomutase
PLMJLKIP_01532	CDS	567	efp		COG0231	Elongation factor P
PLMJLKIP_01533	CDS	126				hypothetical protein
PLMJLKIP_01534	CDS	147				hypothetical protein
PLMJLKIP_01535	CDS	318	gdx		COG2076	Guanidinium exporter
PLMJLKIP_01536	CDS	534	blc		COG3040	Outer membrane lipoprotein Blc
PLMJLKIP_01537	CDS	1134	ampC	3.5.2.6	COG1680	Beta-lactamase
PLMJLKIP_01538	CDS	360	frdD		COG3080	Fumarate reductase subunit D
PLMJLKIP_01539	CDS	396	frdC		COG3029	Fumarate reductase subunit C
PLMJLKIP_01540	CDS	735	frdB	1.3.5.1	COG0479	Fumarate reductase iron-sulfur subunit
PLMJLKIP_01541	CDS	1809	frdA	1.3.5.4	COG1053	Fumarate reductase flavoprotein subunit
PLMJLKIP_01542	CDS	978	epmA	6.3.1.-	COG2269	Elongation factor P--(R)-beta-lysine ligase
PLMJLKIP_01543	CDS	1458	yjeM			Inner membrane transporter YjeM
PLMJLKIP_01544	CDS	3324	mscM		COG3264	Miniconductance mechanosensitive channel MscM
PLMJLKIP_01545	CDS	969	psd	4.1.1.65	COG0688	Phosphatidylserine decarboxylase proenzyme
PLMJLKIP_01546	CDS	1053	rsgA	3.6.1.-	COG1162	Small ribosomal subunit biogenesis GTPase RsgA
PLMJLKIP_01547	CDS	546	orn	3.1.-.-	COG1949	Oligoribonuclease
PLMJLKIP_01548	tRNA	76				tRNA-Gly(gcc)
PLMJLKIP_01549	tRNA	76				tRNA-Gly(gcc)
PLMJLKIP_01550	tRNA	76				tRNA-Gly(gcc)
PLMJLKIP_01551	CDS	1140	queG	1.17.99.6	COG1600	Epoxyqueuosine reductase
PLMJLKIP_01552	CDS	1533	nnr		COG0062	Bifunctional NAD(P)H-hydrate repair enzyme Nnr
PLMJLKIP_01553	CDS	462	tsaE		COG0802	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
PLMJLKIP_01554	CDS	1338	amiB	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase AmiB
PLMJLKIP_01555	CDS	1848	mutL		COG0323	DNA mismatch repair protein MutL
PLMJLKIP_01556	CDS	951	miaA	2.5.1.75	COG0324	tRNA dimethylallyltransferase
PLMJLKIP_01557	CDS	309	hfq		COG1923	RNA-binding protein Hfq
PLMJLKIP_01558	CDS	1281	hflX		COG2262	GTPase HflX
PLMJLKIP_01559	CDS	1260	hflK		COG0330	Modulator of FtsH protease HflK
PLMJLKIP_01560	CDS	1005	hflC_2		COG0330	Modulator of FtsH protease HflC
PLMJLKIP_01561	CDS	198				hypothetical protein
PLMJLKIP_01562	CDS	1299	purA	6.3.4.4	COG0104	Adenylosuccinate synthetase
PLMJLKIP_01563	CDS	426	nsrR		COG1959	HTH-type transcriptional repressor NsrR
PLMJLKIP_01564	CDS	2442	rnr	3.1.13.1	COG0557	Ribonuclease R
PLMJLKIP_01565	CDS	732	rlmB	2.1.1.185	COG0566	23S rRNA (guanosine-2'-O-)-methyltransferase RlmB
PLMJLKIP_01566	CDS	402				hypothetical protein
PLMJLKIP_01567	CDS	699				hypothetical protein
PLMJLKIP_01568	CDS	660				hypothetical protein
PLMJLKIP_01569	CDS	399				hypothetical protein
PLMJLKIP_01570	CDS	639				hypothetical protein
PLMJLKIP_01571	CDS	1164	yjfC	6.3.1.-	COG0754	Putative acid--amine ligase YjfC
PLMJLKIP_01572	CDS	1626	aidB	1.3.99.-	COG1960	Putative acyl-CoA dehydrogenase AidB
PLMJLKIP_01573	CDS	276				hypothetical protein
PLMJLKIP_01574	CDS	330	bsmA			Lipoprotein BsmA
PLMJLKIP_01575	CDS	750				hypothetical protein
PLMJLKIP_01576	CDS	756	ulaR		COG1349	HTH-type transcriptional regulator UlaR
PLMJLKIP_01577	CDS	1065	ulaG	3.1.1.-	COG2220	putative L-ascorbate-6-phosphate lactonase UlaG
PLMJLKIP_01578	CDS	1398	ulaA_1		COG3037	Ascorbate-specific PTS system EIIC component
PLMJLKIP_01579	CDS	306	ulaB_1	2.7.1.194	COG3414	Ascorbate-specific PTS system EIIB component
PLMJLKIP_01580	CDS	465	ulaC		COG1762	Ascorbate-specific PTS system EIIA component
PLMJLKIP_01581	CDS	651	ulaD	4.1.1.85	COG0269	3-keto-L-gulonate-6-phosphate decarboxylase UlaD
PLMJLKIP_01582	CDS	855	ulaE_2	5.1.3.22	COG3623	L-ribulose-5-phosphate 3-epimerase UlaE
PLMJLKIP_01583	CDS	687	ulaF	5.1.3.4	COG0235	L-ribulose-5-phosphate 4-epimerase UlaF
PLMJLKIP_01584	CDS	276				hypothetical protein
PLMJLKIP_01585	CDS	396	rpsF		COG0360	30S ribosomal protein S6
PLMJLKIP_01586	CDS	315	priB		COG2965	Primosomal replication protein N
PLMJLKIP_01587	CDS	228	rpsR		COG0238	30S ribosomal protein S18
PLMJLKIP_01588	CDS	450	rplI		COG0359	50S ribosomal protein L9
PLMJLKIP_01589	CDS	795				hypothetical protein
PLMJLKIP_01590	CDS	261				hypothetical protein
PLMJLKIP_01591	CDS	222				hypothetical protein
PLMJLKIP_01592	CDS	144				hypothetical protein
PLMJLKIP_01593	CDS	444				hypothetical protein
PLMJLKIP_01594	CDS	369	cbeA_3			Cytoskeleton bundling-enhancing antitoxin CbeA
PLMJLKIP_01595	CDS	378	cbtA_2			Cytoskeleton-binding toxin CbtA
PLMJLKIP_01596	CDS	489				hypothetical protein
PLMJLKIP_01597	CDS	198				hypothetical protein
PLMJLKIP_01598	CDS	570				hypothetical protein
PLMJLKIP_01599	CDS	291				hypothetical protein
PLMJLKIP_01600	CDS	984	kpsF	5.3.1.13	COG0517	Arabinose 5-phosphate isomerase KpsF
PLMJLKIP_01601	CDS	1149				hypothetical protein
PLMJLKIP_01602	CDS	1677	kpsD		COG1596	Polysialic acid transport protein KpsD
PLMJLKIP_01603	CDS	741	kpsU	2.7.7.38	COG1212	3-deoxy-manno-octulosonate cytidylyltransferase
PLMJLKIP_01604	CDS	2028				hypothetical protein
PLMJLKIP_01605	CDS	1230				hypothetical protein
PLMJLKIP_01606	CDS	756	dapH_2	2.3.1.89		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
PLMJLKIP_01607	CDS	3342				hypothetical protein
PLMJLKIP_01608	CDS	669	kpsT			Polysialic acid transport ATP-binding protein KpsT
PLMJLKIP_01609	CDS	777	kpsM		COG1682	Polysialic acid transport protein KpsM
PLMJLKIP_01610	CDS	537	epsM		COG3149	Type II secretion system protein M
PLMJLKIP_01611	CDS	594	yghE			Putative type II secretion system L-type protein YghE
PLMJLKIP_01612	CDS	612				hypothetical protein
PLMJLKIP_01613	CDS	414				hypothetical protein
PLMJLKIP_01614	CDS	228				hypothetical protein
PLMJLKIP_01615	CDS	483				hypothetical protein
PLMJLKIP_01616	CDS	630				hypothetical protein
PLMJLKIP_01617	CDS	309				hypothetical protein
PLMJLKIP_01618	CDS	405				hypothetical protein
PLMJLKIP_01619	CDS	2607				hypothetical protein
PLMJLKIP_01620	CDS	258				hypothetical protein
PLMJLKIP_01621	CDS	132				hypothetical protein
PLMJLKIP_01622	CDS	693				hypothetical protein
PLMJLKIP_01623	CDS	540				hypothetical protein
PLMJLKIP_01624	CDS	162				hypothetical protein
PLMJLKIP_01625	CDS	297				hypothetical protein
PLMJLKIP_01626	CDS	2475				hypothetical protein
PLMJLKIP_01627	CDS	1803				hypothetical protein
PLMJLKIP_01628	CDS	2514				hypothetical protein
PLMJLKIP_01629	CDS	546				hypothetical protein
PLMJLKIP_01630	CDS	465				hypothetical protein
PLMJLKIP_01631	CDS	2472				hypothetical protein
PLMJLKIP_01632	CDS	606				hypothetical protein
PLMJLKIP_01633	CDS	324				hypothetical protein
PLMJLKIP_01634	CDS	336				hypothetical protein
PLMJLKIP_01635	CDS	438				hypothetical protein
PLMJLKIP_01636	CDS	987				hypothetical protein
PLMJLKIP_01637	CDS	696				hypothetical protein
PLMJLKIP_01638	CDS	297				hypothetical protein
PLMJLKIP_01639	CDS	1680				hypothetical protein
PLMJLKIP_01640	CDS	207				hypothetical protein
PLMJLKIP_01641	tRNA	77				tRNA-Arg(tct)
PLMJLKIP_01642	CDS	819				hypothetical protein
PLMJLKIP_01643	CDS	1476				hypothetical protein
PLMJLKIP_01644	CDS	594				hypothetical protein
PLMJLKIP_01645	CDS	339				hypothetical protein
PLMJLKIP_01646	CDS	354				hypothetical protein
PLMJLKIP_01647	CDS	705				hypothetical protein
PLMJLKIP_01648	CDS	192				hypothetical protein
PLMJLKIP_01649	CDS	486				hypothetical protein
PLMJLKIP_01650	CDS	300				hypothetical protein
PLMJLKIP_01651	CDS	585				hypothetical protein
PLMJLKIP_01652	CDS	345				hypothetical protein
PLMJLKIP_01653	CDS	786				hypothetical protein
PLMJLKIP_01654	CDS	792	dnaT_1			Primosomal protein 1
PLMJLKIP_01655	CDS	201				hypothetical protein
PLMJLKIP_01656	CDS	231				hypothetical protein
PLMJLKIP_01657	CDS	585				hypothetical protein
PLMJLKIP_01658	CDS	153				hypothetical protein
PLMJLKIP_01659	CDS	300				hypothetical protein
PLMJLKIP_01660	CDS	822	recE	3.1.11.-		Exodeoxyribonuclease 8
PLMJLKIP_01661	CDS	882				hypothetical protein
PLMJLKIP_01662	CDS	249				hypothetical protein
PLMJLKIP_01663	CDS	252				hypothetical protein
PLMJLKIP_01664	CDS	651				hypothetical protein
PLMJLKIP_01665	CDS	660	pphA_2	3.1.3.16	COG0639	Serine/threonine-protein phosphatase 1
PLMJLKIP_01666	CDS	1257	intA_1		COG0582	Prophage integrase IntA
PLMJLKIP_01667	CDS	1578	guaA	6.3.5.2	COG0518	GMP synthase [glutamine-hydrolyzing]
PLMJLKIP_01668	CDS	1467	guaB	1.1.1.205	COG0516	Inosine-5'-monophosphate dehydrogenase
PLMJLKIP_01669	CDS	1377	xseA	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
PLMJLKIP_01670	CDS	5286				hypothetical protein
PLMJLKIP_01671	CDS	2715				hypothetical protein
PLMJLKIP_01672	CDS	978				hypothetical protein
PLMJLKIP_01673	CDS	2178				hypothetical protein
PLMJLKIP_01674	CDS	216	yfgJ			putative protein YfgJ
PLMJLKIP_01675	CDS	1473	der		COG1160	GTPase Der
PLMJLKIP_01676	CDS	1179	bamB		COG1520	Outer membrane protein assembly factor BamB
PLMJLKIP_01677	CDS	621				hypothetical protein
PLMJLKIP_01678	CDS	1275	hisS	6.1.1.21	COG0124	Histidine--tRNA ligase
PLMJLKIP_01679	CDS	1119	ispG	1.17.7.3	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
PLMJLKIP_01680	CDS	1014	rodZ		COG1426	Cytoskeleton protein RodZ
PLMJLKIP_01681	CDS	1155	rlmN	2.1.1.192	COG0820	Dual-specificity RNA methyltransferase RlmN
PLMJLKIP_01682	CDS	432	ndk	2.7.4.6	COG0105	Nucleoside diphosphate kinase
PLMJLKIP_01683	CDS	2313	pbpC		COG4953	Penicillin-binding protein 1C
PLMJLKIP_01684	CDS	4962	yfhM		COG2373	Alpha-2-macroglobulin
PLMJLKIP_01685	CDS	846	sseA	2.8.1.2	COG2897	3-mercaptopyruvate sulfurtransferase
PLMJLKIP_01686	CDS	777				hypothetical protein
PLMJLKIP_01687	CDS	1284	pepB	3.4.11.23	COG0260	Peptidase B
PLMJLKIP_01688	CDS	201	iscX		COG2975	Protein IscX
PLMJLKIP_01689	CDS	336	fdx		COG0633	2Fe-2S ferredoxin
PLMJLKIP_01690	CDS	1851	hscA		COG0443	Chaperone protein HscA
PLMJLKIP_01691	CDS	516	hscB		COG1076	Co-chaperone protein HscB
PLMJLKIP_01692	CDS	324	iscA		COG0316	Iron-binding protein IscA
PLMJLKIP_01693	CDS	387	iscU		COG0822	Iron-sulfur cluster assembly scaffold protein IscU
PLMJLKIP_01694	CDS	1215	iscS	2.8.1.7	COG1104	Cysteine desulfurase IscS
PLMJLKIP_01695	CDS	489	iscR		COG1959	HTH-type transcriptional regulator IscR
PLMJLKIP_01696	CDS	741	trmJ	2.1.1.200	COG0565	tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmJ
PLMJLKIP_01697	CDS	804	suhB	3.1.3.25	COG0483	Inositol-1-monophosphatase
PLMJLKIP_01698	CDS	855			COG1073	putative protein
PLMJLKIP_01699	CDS	1281				hypothetical protein
PLMJLKIP_01700	CDS	1140	hcaT			putative 3-phenylpropionic acid transporter
PLMJLKIP_01701	CDS	891	hcaR_1			Hca operon transcriptional activator HcaR
PLMJLKIP_01702	CDS	1362	hcaE	1.14.12.19	COG4638	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha
PLMJLKIP_01703	CDS	519	hcaF	1.14.12.19	COG5517	3-phenylpropionate/cinnamic acid dioxygenase subunit beta
PLMJLKIP_01704	CDS	321	hcaC		COG2146	3-phenylpropionate/cinnamic acid dioxygenase ferredoxin subunit
PLMJLKIP_01705	CDS	813	hcaB	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
PLMJLKIP_01706	CDS	1203	hcaD	1.18.1.3	COG0446	3-phenylpropionate/cinnamic acid dioxygenase ferredoxin--NAD(+) reductase component
PLMJLKIP_01707	CDS	423	yphA		COG2259	Inner membrane protein YphA
PLMJLKIP_01708	CDS	873	yphB		COG2017	putative protein YphB
PLMJLKIP_01709	CDS	1062	gutB	1.1.1.-	COG1063	Sorbitol dehydrogenase
PLMJLKIP_01710	CDS	999	rbsC_1		COG1172	Ribose import permease protein RbsC
PLMJLKIP_01711	CDS	1512	mglA_1	7.5.2.11	COG1129	Galactose/methyl galactoside import ATP-binding protein MglA
PLMJLKIP_01712	CDS	984	yphF		COG1879	ABC transporter periplasmic-binding protein YphF
PLMJLKIP_01713	CDS	3282				hypothetical protein
PLMJLKIP_01714	CDS	1194	mlc_1		COG1940	Protein mlc
PLMJLKIP_01715	CDS	1254	glyA	2.1.2.1	COG0112	Serine hydroxymethyltransferase
PLMJLKIP_01716	CDS	1191	hmp	1.14.12.17	COG1017	Flavohemoprotein
PLMJLKIP_01717	CDS	339	glnB		COG0347	Nitrogen regulatory protein P-II 1
PLMJLKIP_01718	CDS	1335	qseF		COG2204	Transcriptional regulatory protein QseF
PLMJLKIP_01719	CDS	714	qseG			Quorum-sensing regulator protein G
PLMJLKIP_01720	CDS	1383	qseE	2.7.13.3		Sensor histidine kinase QseE
PLMJLKIP_01721	CDS	3888	purL	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase
PLMJLKIP_01722	CDS	1557	mltF	4.2.2.-	COG4623	Membrane-bound lytic murein transglycosylase F
PLMJLKIP_01723	CDS	504	tadA	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
PLMJLKIP_01724	CDS	636	pgpC	3.1.3.27	COG0560	Phosphatidylglycerophosphatase C
PLMJLKIP_01725	CDS	849	murR_1		COG1737	HTH-type transcriptional regulator MurR
PLMJLKIP_01726	CDS	261	yfhL		COG1145	Ferredoxin YfhL
PLMJLKIP_01727	CDS	381	acpS	2.7.8.7	COG0736	Holo-[acyl-carrier-protein] synthase
PLMJLKIP_01728	CDS	732	pdxJ	2.6.99.2	COG0854	Pyridoxine 5'-phosphate synthase
PLMJLKIP_01729	CDS	729	recO		COG1381	DNA repair protein RecO
PLMJLKIP_01730	CDS	906	era_2		COG1159	GTPase Era
PLMJLKIP_01731	CDS	681	rnc	3.1.26.3	COG0571	Ribonuclease 3
PLMJLKIP_01732	CDS	975	lepB	3.4.21.89	COG0681	Signal peptidase I
PLMJLKIP_01733	CDS	1800	lepA	3.6.5.-	COG0481	Elongation factor 4
PLMJLKIP_01734	CDS	480	rseC		COG3086	Protein RseC
PLMJLKIP_01735	CDS	957	rseB		COG3026	Sigma-E factor regulatory protein RseB
PLMJLKIP_01736	CDS	651	rseA		COG3073	Anti-sigma-E factor RseA
PLMJLKIP_01737	CDS	576	rpoE		COG1595	ECF RNA polymerase sigma-E factor
PLMJLKIP_01738	CDS	1623	nadB	1.4.3.16	COG0029	L-aspartate oxidase
PLMJLKIP_01739	CDS	738	yfiC	2.1.1.223	COG4123	tRNA1(Val) (adenine(37)-N6)-methyltransferase
PLMJLKIP_01740	CDS	1335	srmB_1	3.6.4.13	COG0513	ATP-dependent RNA helicase SrmB
PLMJLKIP_01741	CDS	138	tuf1			Elongation factor Tu 1
PLMJLKIP_01742	CDS	195	bfd		COG2906	Bacterioferritin-associated ferredoxin
PLMJLKIP_01743	CDS	477	bfr	1.16.3.1	COG2193	Bacterioferritin
PLMJLKIP_01744	CDS	468				hypothetical protein
PLMJLKIP_01745	CDS	312	rpsJ		COG0051	30S ribosomal protein S10
PLMJLKIP_01746	CDS	630	rplC		COG0087	50S ribosomal protein L3
PLMJLKIP_01747	CDS	606	rplD		COG0088	50S ribosomal protein L4
PLMJLKIP_01748	CDS	303	rplW		COG0089	50S ribosomal protein L23
PLMJLKIP_01749	CDS	822	rplB		COG0090	50S ribosomal protein L2
PLMJLKIP_01750	CDS	279	rpsS		COG0185	30S ribosomal protein S19
PLMJLKIP_01751	CDS	333	rplV		COG0091	50S ribosomal protein L22
PLMJLKIP_01752	CDS	702	rpsC		COG0092	30S ribosomal protein S3
PLMJLKIP_01753	CDS	411	rplP		COG0197	50S ribosomal protein L16
PLMJLKIP_01754	CDS	192	rpmC		COG0255	50S ribosomal protein L29
PLMJLKIP_01755	CDS	255	rpsQ		COG0186	30S ribosomal protein S17
PLMJLKIP_01756	CDS	372	rplN		COG0093	50S ribosomal protein L14
PLMJLKIP_01757	CDS	315	rplX		COG0198	50S ribosomal protein L24
PLMJLKIP_01758	CDS	540	rplE		COG0094	50S ribosomal protein L5
PLMJLKIP_01759	CDS	306	rpsN		COG0199	30S ribosomal protein S14
PLMJLKIP_01760	CDS	393	rpsH		COG0096	30S ribosomal protein S8
PLMJLKIP_01761	CDS	534	rplF		COG0097	50S ribosomal protein L6
